temperature,alpha,seed,best_acc,best_f1
1,0.0,42,0.7546,0.7378
1,0.0,123,0.7063,0.6852
1,0.5,42,0.755,0.737
1,0.5,123,0.7246,0.7047
1,1.0,42,0.7588,0.7402
1,1.0,123,0.7124,0.6919
2,0.0,42,0.7534,0.7365
2,0.0,123,0.7069,0.6862
2,0.5,42,0.7442,0.7232
2,0.5,123,0.7178,0.6996
2,1.0,42,0.702,0.682
2,1.0,123,0.7254,0.7045
5,0.0,42,0.7591,0.7411
5,0.0,123,0.7203,0.6992
5,0.5,42,0.7123,0.6908
5,0.5,123,0.7061,0.6872
5,1.0,42,0.7233,0.7037
5,1.0,123,0.7064,0.6818
10,0.0,42,0.7643,0.7457
10,0.0,123,0.7141,0.6927
10,0.5,42,0.7304,0.7101
10,0.5,123,0.7286,0.7078
10,1.0,42,0.7112,0.6919
10,1.0,123,0.7272,0.7066
