temperature,alpha,seed,clean_acc,clean_f1,fgsm_0.01_acc,fgsm_0.01_f1,fgsm_0.05_acc,fgsm_0.05_f1,fgsm_0.1_acc,fgsm_0.1_f1,noise_20db_acc,noise_20db_f1,noise_10db_acc,noise_10db_f1,noise_5db_acc,noise_5db_f1,trunc_25_acc,trunc_25_f1,trunc_50_acc,trunc_50_f1,trunc_75_acc,trunc_75_f1
1,0.0,42,0.8698,0.8594,0.6652,0.6826,0.6554,0.6948,0.6536,0.7089,0.7907,0.7813,0.6283,0.6143,0.473,0.4491,0.8021,0.7914,0.5009,0.5016,0.1448,0.1459
1,0.0,123,0.8582,0.8497,0.6759,0.6931,0.6652,0.703,0.6587,0.7193,0.7683,0.7615,0.6247,0.603,0.4728,0.4261,0.7854,0.7747,0.491,0.4878,0.1403,0.1471
1,0.5,42,0.876,0.8664,0.6798,0.6865,0.6733,0.7253,0.6708,0.7266,0.7918,0.7795,0.6135,0.5848,0.4283,0.3896,0.8021,0.7914,0.5081,0.5116,0.1434,0.1449
1,0.5,123,0.8607,0.8515,0.6662,0.6871,0.6566,0.7192,0.6539,0.7374,0.7699,0.7646,0.6131,0.599,0.4319,0.3953,0.7892,0.7791,0.4871,0.4839,0.1359,0.1349
1,1.0,42,0.8263,0.8159,0.561,0.5878,0.5479,0.6067,0.55,0.6103,0.7212,0.7083,0.4827,0.4677,0.2995,0.2863,0.75,0.7407,0.4583,0.458,0.1307,0.1291
1,1.0,123,0.8662,0.8567,0.6894,0.7152,0.678,0.7364,0.6767,0.7436,0.7767,0.77,0.5997,0.5838,0.4245,0.3891,0.7968,0.7888,0.4947,0.4933,0.1399,0.1389
2,0.0,42,0.8194,0.8083,0.5428,0.5647,0.5337,0.5961,0.53,0.6013,0.7279,0.7201,0.5403,0.5339,0.4229,0.408,0.7442,0.7334,0.4476,0.4514,0.1239,0.1214
2,0.0,123,0.8498,0.84,0.6399,0.6403,0.6169,0.688,0.6146,0.7038,0.7378,0.7352,0.5997,0.5879,0.4635,0.4492,0.7715,0.7595,0.4765,0.4763,0.1343,0.1394
2,0.5,42,0.8708,0.8616,0.763,0.7659,0.7604,0.7908,0.7601,0.8019,0.7634,0.7556,0.5463,0.5468,0.3745,0.3603,0.7989,0.7891,0.5009,0.5043,0.1477,0.1494
2,0.5,123,0.856,0.8462,0.7517,0.7662,0.7453,0.8061,0.7444,0.8084,0.7749,0.7628,0.6322,0.6149,0.459,0.4228,0.7789,0.7671,0.4812,0.4762,0.1338,0.1395
2,1.0,42,0.8566,0.8464,0.7626,0.7706,0.758,0.791,0.7571,0.8048,0.6987,0.6898,0.5214,0.5071,0.395,0.3599,0.7848,0.7752,0.4918,0.4977,0.1458,0.143
2,1.0,123,0.8494,0.8408,0.7479,0.7558,0.7463,0.7925,0.7465,0.8046,0.7347,0.7264,0.5737,0.5368,0.4451,0.39,0.7693,0.7598,0.4677,0.4727,0.1428,0.1376
5,0.0,42,0.8639,0.8534,0.6544,0.6646,0.6471,0.6699,0.6442,0.679,0.7844,0.7753,0.6254,0.6113,0.4916,0.4612,0.7886,0.7768,0.4916,0.4943,0.1388,0.1464
5,0.0,123,0.8576,0.8474,0.6664,0.6977,0.6568,0.7248,0.6549,0.7239,0.7649,0.7589,0.5998,0.5784,0.4113,0.3592,0.784,0.7724,0.4903,0.4866,0.1466,0.1494
5,0.5,42,0.8493,0.8386,0.7955,0.8227,0.7945,0.8331,0.7946,0.8224,0.709,0.7034,0.4988,0.4851,0.3474,0.3169,0.7742,0.7623,0.4684,0.4598,0.1326,0.1335
5,0.5,123,0.8484,0.8385,0.7971,0.814,0.7969,0.8167,0.7964,0.8201,0.7403,0.7257,0.4806,0.4578,0.332,0.3004,0.7748,0.7648,0.4762,0.4738,0.1398,0.1415
5,1.0,42,0.865,0.8559,0.8194,0.8416,0.8177,0.8508,0.8174,0.8554,0.7547,0.7487,0.5131,0.5015,0.3082,0.2836,0.7892,0.7808,0.4977,0.5039,0.1441,0.1513
5,1.0,123,0.8478,0.8395,0.7986,0.8158,0.7973,0.847,0.7968,0.8455,0.7016,0.6975,0.4612,0.4442,0.2933,0.2628,0.7757,0.7676,0.4681,0.4653,0.1361,0.1311
10,0.0,42,0.8713,0.8631,0.6783,0.6922,0.6628,0.7431,0.6614,0.7465,0.7824,0.7729,0.5726,0.5523,0.3891,0.3525,0.7985,0.79,0.4973,0.503,0.1478,0.1553
10,0.0,123,0.8627,0.8541,0.6674,0.6792,0.66,0.6785,0.6528,0.7074,0.749,0.7436,0.5613,0.5476,0.4119,0.3808,0.7919,0.7834,0.4961,0.4977,0.149,0.1527
10,0.5,42,0.8687,0.8591,0.8226,0.8275,0.8206,0.8478,0.8206,0.8485,0.7693,0.7655,0.5408,0.5337,0.3506,0.3345,0.7933,0.784,0.493,0.492,0.1381,0.1368
10,0.5,123,0.8431,0.8339,0.8,0.8133,0.7986,0.8175,0.7992,0.8139,0.707,0.7041,0.4153,0.3962,0.2425,0.2077,0.7635,0.7551,0.4517,0.4513,0.1288,0.1256
10,1.0,42,0.8666,0.8555,0.8238,0.832,0.8215,0.8582,0.8213,0.8639,0.7416,0.7357,0.5056,0.4891,0.3273,0.292,0.7935,0.7815,0.4871,0.4837,0.1431,0.145
10,1.0,123,0.8303,0.8206,0.7851,0.7987,0.7832,0.8069,0.7841,0.8027,0.6938,0.689,0.3762,0.361,0.2066,0.1644,0.7493,0.7373,0.447,0.4473,0.1134,0.1161
