temperature,alpha,seed,clean_acc,clean_f1,fgsm_0.01_acc,fgsm_0.01_f1,fgsm_0.05_acc,fgsm_0.05_f1,fgsm_0.1_acc,fgsm_0.1_f1,noise_20db_acc,noise_20db_f1,noise_10db_acc,noise_10db_f1,noise_5db_acc,noise_5db_f1,trunc_25_acc,trunc_25_f1,trunc_50_acc,trunc_50_f1,trunc_75_acc,trunc_75_f1
1,0.0,42,0.7418,0.7249,0.2811,0.3045,0.2731,0.3154,0.2758,0.3268,0.547,0.5236,0.2733,0.2368,0.1655,0.1205,0.6588,0.6455,0.3628,0.3507,0.1056,0.0805
1,0.0,123,0.6969,0.679,0.208,0.1883,0.2029,0.2103,0.199,0.2164,0.5642,0.5417,0.277,0.249,0.1791,0.1465,0.6155,0.6012,0.3261,0.3136,0.0851,0.0593
1,0.5,42,0.741,0.7244,0.2889,0.309,0.2789,0.3131,0.2834,0.324,0.544,0.5199,0.2654,0.2273,0.1578,0.1105,0.6572,0.6434,0.3587,0.35,0.1011,0.0782
1,0.5,123,0.7113,0.6952,0.2279,0.2086,0.2203,0.2327,0.2197,0.2397,0.6003,0.5815,0.2979,0.2685,0.1977,0.1519,0.6311,0.6163,0.334,0.321,0.077,0.0593
1,1.0,42,0.7423,0.7237,0.2928,0.3141,0.2871,0.3104,0.2907,0.3271,0.5468,0.5201,0.2586,0.2152,0.1592,0.1102,0.6594,0.6459,0.3615,0.352,0.1039,0.0796
1,1.0,123,0.7025,0.6857,0.2076,0.1888,0.2101,0.2166,0.2129,0.2282,0.6163,0.5971,0.3,0.2729,0.1804,0.1366,0.6234,0.611,0.3258,0.3196,0.0829,0.0599
2,0.0,42,0.7383,0.7215,0.2801,0.3055,0.2711,0.3162,0.2761,0.3245,0.5519,0.5276,0.2644,0.2259,0.1523,0.1104,0.6579,0.6446,0.3626,0.3501,0.1082,0.0822
2,0.0,123,0.6991,0.6811,0.2074,0.1872,0.2062,0.2137,0.1995,0.2187,0.5654,0.5434,0.2701,0.2423,0.1714,0.1365,0.6177,0.6031,0.3273,0.3152,0.0858,0.0598
2,0.5,42,0.7309,0.7139,0.4679,0.4903,0.4645,0.4965,0.4626,0.4858,0.5019,0.4677,0.2427,0.1968,0.1514,0.1114,0.6513,0.6366,0.3577,0.3538,0.0792,0.071
2,0.5,123,0.7059,0.6899,0.4254,0.4348,0.4108,0.4539,0.4091,0.4569,0.4845,0.4525,0.2652,0.2265,0.1776,0.1336,0.6172,0.6031,0.3256,0.3157,0.0829,0.0653
2,1.0,42,0.691,0.6767,0.441,0.4469,0.4347,0.4698,0.4335,0.4426,0.4928,0.4737,0.2398,0.2044,0.1461,0.1121,0.6092,0.6007,0.3212,0.3133,0.0866,0.062
2,1.0,123,0.7131,0.6961,0.4735,0.4557,0.4703,0.472,0.4708,0.4784,0.5541,0.5302,0.3592,0.33,0.2525,0.2188,0.6402,0.6263,0.3559,0.3485,0.0963,0.0749
5,0.0,42,0.7442,0.7288,0.2864,0.314,0.2734,0.3227,0.2746,0.3199,0.5117,0.4905,0.2361,0.2103,0.1311,0.103,0.6596,0.6492,0.3575,0.3493,0.106,0.0765
5,0.0,123,0.7122,0.6964,0.2227,0.2063,0.2193,0.223,0.2114,0.2187,0.494,0.4726,0.2407,0.2097,0.1719,0.1279,0.6244,0.6112,0.3296,0.3178,0.0801,0.0544
5,0.5,42,0.693,0.6746,0.5746,0.6047,0.5734,0.6302,0.5716,0.6248,0.4373,0.4144,0.183,0.1432,0.1303,0.0789,0.6098,0.5929,0.3144,0.3055,0.0735,0.0582
5,0.5,123,0.6941,0.6739,0.5697,0.5695,0.5707,0.5891,0.5706,0.5973,0.4923,0.4484,0.2456,0.1849,0.1494,0.1053,0.6153,0.598,0.3349,0.3171,0.0817,0.0672
5,1.0,42,0.7094,0.6929,0.6005,0.6118,0.5993,0.64,0.5994,0.639,0.4488,0.4115,0.2414,0.1912,0.1671,0.1024,0.6262,0.6109,0.3292,0.3154,0.09,0.0615
5,1.0,123,0.694,0.675,0.5823,0.6133,0.5831,0.6263,0.5829,0.6323,0.4606,0.4332,0.1836,0.1355,0.1162,0.0649,0.6239,0.6086,0.3379,0.3244,0.0913,0.0781
10,0.0,42,0.7487,0.7319,0.3042,0.3171,0.289,0.329,0.295,0.3369,0.5275,0.5058,0.2663,0.2184,0.1761,0.1234,0.6633,0.6508,0.3684,0.3612,0.1028,0.0781
10,0.0,123,0.6991,0.6799,0.2142,0.198,0.2134,0.2246,0.2136,0.2318,0.4534,0.4321,0.1911,0.1532,0.126,0.0832,0.6212,0.6066,0.3312,0.3239,0.0939,0.0738
10,0.5,42,0.7208,0.7039,0.6439,0.6636,0.6436,0.6652,0.6469,0.6717,0.4493,0.4415,0.2405,0.2017,0.1677,0.109,0.6297,0.6163,0.3251,0.3167,0.0818,0.0533
10,0.5,123,0.7165,0.6983,0.638,0.6642,0.6337,0.6654,0.6409,0.6724,0.4637,0.4434,0.1821,0.1497,0.0987,0.0525,0.6289,0.6194,0.3222,0.3119,0.0818,0.0538
10,1.0,42,0.6968,0.6796,0.6166,0.6266,0.615,0.6266,0.617,0.6353,0.5064,0.4879,0.2315,0.224,0.1325,0.1034,0.6127,0.6022,0.3269,0.3193,0.0866,0.0593
10,1.0,123,0.7165,0.6964,0.639,0.676,0.6403,0.6908,0.6365,0.6869,0.4391,0.4174,0.1566,0.1258,0.0857,0.049,0.6272,0.6109,0.3263,0.3151,0.0829,0.0629
